seqno,type,city,countycode,name,localcallservice,address
1,環保餐廳,新北市,65000,31早午餐,02-82861790,新北市蘆洲區和平路171號
2,環保餐廳,新北市,65000,57黃燜雞(板橋大遠百),0988754052,新北市板橋區新站路28號B1
3,環保餐廳,新北市,65000,"Alessi Cafe ",02-29566768,新北市板橋區新站路28號
4,環保餐廳,新北市,65000,Apple203早午餐店-中和遠東,02-82261077,新北市中和區中正路738號
5,環保餐廳,新北市,65000,"B & G德國農莊複合式茶館",02-77054168,新北市板橋區新站路28號
6,環保餐廳,新北市,65000,BarAku,02-29698058,新北市板橋區縣民大道一段269號2樓
7,環保餐廳,新北市,65000,bb.q三重三和店,02-22861069,新北市三重區三和路四段３９８之１號一樓
8,環保餐廳,新北市,65000,bb.q中和中漢店,02-82282057,新北市中和區中山路三段186號
9,環保餐廳,新北市,65000,bb.q板橋板農店,02-22710016,新北市板橋區府中路29之1號
10,環保餐廳,新北市,65000,"Bellini Pasta Pasta 中和環球",0988629682,新北市中和區中山路三段122號4樓
11,環保餐廳,新北市,65000,"BinB書? Bar in Book",02-82510325,新北市板橋區民生路三段140號
12,環保餐廳,新北市,65000,"cama 中和環球",02-22230612,新北市中和區中山路三段122號3樓
13,環保餐廳,新北市,65000,"Cold Stone 中和環球",02-22211807,新北市中和區中山路三段122號B2樓
14,環保餐廳,新北市,65000,"Dear 40 Cafe",02-29177171,新北市新店區寶興路40號
15,環保餐廳,新北市,65000,"DRIP CAFE好滴咖啡-環球板橋車站店",02-29609288,新北市板橋區縣民大道二段七號2F
16,環保餐廳,新北市,65000,House.好食早餐店,02-29703375,新北市三重區福德里成功路106之1號
17,環保餐廳,新北市,65000,"Kali Chimaek 韓式炸雞",02-29647777,新北市板橋區中山路一段158巷21號
18,環保餐廳,新北市,65000,"Mami Cooking 中和環球店",0986750260,新北市中和區中山路三段122號B2樓
19,環保餐廳,新北市,65000,"MOMO PARADISE 中和環球",02-82286002,新北市中和區中山路三段122號4樓
20,環保餐廳,新北市,65000,"Mrs. Mapo麻婆豆腐 新店家樂福店",02-29115569,新北市新店區中興路三段1號1F
21,環保餐廳,新北市,65000,Party創作美食茶房,02-89211103,新北市永和區竹林路222號2樓
22,環保餐廳,新北市,65000,"petit doux 微兜  小碧潭店",02-29115998,新北市新店區新北市新店區中央路157號5樓
23,環保餐廳,新北市,65000,"Psyaq  Cikay Ma食坊",0916127010,新北市烏來區福山里卡拉模基26號
24,環保餐廳,新北市,65000,"Q Burger（總店）",02-89913667,新北市新莊區頭前路24號
25,環保餐廳,新北市,65000,"Q Burger八里中山店",02-26194767,新北市八里區中山路二段363號
26,環保餐廳,新北市,65000,"Q Burger三重力行店",02-29879488,新北市三重區力行路一段160號一樓及地下一樓
27,環保餐廳,新北市,65000,"Q Burger三重三民店",02-29869285,新北市三重區三民街298號
28,環保餐廳,新北市,65000,"Q Burger三重大智店",02-29883200,新北市三重區大智街55號
29,環保餐廳,新北市,65000,"Q Burger三重中正店",02-29856668,新北市三重區中正北路180號
30,環保餐廳,新北市,65000,"Q Burger三重中正南店",02-29746343,新北市三重區中正南路49號
31,環保餐廳,新北市,65000,"Q Burger三重仁政店",02-29886667,新北市三重區溪美里仁愛街349號
32,環保餐廳,新北市,65000,"Q Burger三重仁愛店",02-29860322,新北市三重區溪尾街269號
33,環保餐廳,新北市,65000,"Q Burger三重永福店",02-82878666,新北市三重區永福街172號
34,環保餐廳,新北市,65000,"Q Burger三重田安店",02-29840181,新北市三重區三民街71號1樓
35,環保餐廳,新北市,65000,"Q Burger三重光復店",02-29990935,新北市三重區光復路一段68巷22號
36,環保餐廳,新北市,65000,"Q Burger三重光興店",02-29740006,新北市三重區正義南路103號
37,環保餐廳,新北市,65000,"Q Burger三重自強店",02-29882918,新北市三重區自強路二段7號
38,環保餐廳,新北市,65000,"Q Burger三重忠孝店",02-29846788,新北市三重區忠孝路二段46號
39,環保餐廳,新北市,65000,"Q Burger三重長安店",02-29762393,新北市三重區長安街73號1樓
40,環保餐廳,新北市,65000,"Q Burger三重重陽店",02-89881667,新北市三重區重陽路43巷31號1樓
41,環保餐廳,新北市,65000,"Q Burger三重頂崁店",02-29843557,新北市三重區頂崁街188號
42,環保餐廳,新北市,65000,"Q Burger三重菜寮店",02-29880901,新北市三重區重新路三段93號1樓
43,環保餐廳,新北市,65000,"Q Burger三重集成店",02-29776785,新北市三重區集成路42號
44,環保餐廳,新北市,65000,"Q Burger三重慈愛店",02-22808853,新北市三重區慈愛街46號
45,環保餐廳,新北市,65000,"Q Burger三重福德南店",02-29755550,新北市三重區福德南路40號
46,環保餐廳,新北市,65000,"Q Burger三重龍門店",02-29772611,新北市三重區龍門路40號
47,環保餐廳,新北市,65000,"Q Burger三峽大同店",02-26740031,新北市三峽區介壽里大同路1-4號1樓
48,環保餐廳,新北市,65000,"Q Burger三峽中華店",02-86719007,新北市三峽區安溪里中華路46-2號
49,環保餐廳,新北市,65000,"Q Burger三峽文化店",02-26738182,新北市三峽區文化路266之13號1樓
50,環保餐廳,新北市,65000,"Q Burger三峽北大店",02-26737288,新北市三峽區國際二街37號
51,環保餐廳,新北市,65000,"Q Burger三峽復興店",02-86717069,新北市三峽區復興路30號1樓
52,環保餐廳,新北市,65000,"Q Burger土城永豐店",02-22707050,新北市土城區永豐路135巷10號1樓
53,環保餐廳,新北市,65000,"Q Burger土城立德店",02-22632929,新北市土城區延和路54號
54,環保餐廳,新北市,65000,"Q Burger土城延吉店",02-82610582,新北市土城區延吉街312號
55,環保餐廳,新北市,65000,"Q Burger土城延和店",02-22631515,新北市土城區延和路115號1樓
56,環保餐廳,新北市,65000,"Q Burger土城青雲店",02-22730363,新北市土城區青雲路238號1樓
57,環保餐廳,新北市,65000,"Q Burger土城員林店",02-82610003,新北市土城區員林街10之2號一樓
58,環保餐廳,新北市,65000,"Q Burger土城廣興店",02-89661116,新北市土城區廣興街33號1樓
59,環保餐廳,新北市,65000,"Q Burger土城學成店",02-82731862,新北市土城區學成路47號
60,環保餐廳,新北市,65000,"Q Burger中和大仁店",02-86680138,新北市中和區大仁街19巷6號1樓
61,環保餐廳,新北市,65000,"Q Burger中和中山店",02-82211126,新北市中和區員山路454號
62,環保餐廳,新北市,65000,"Q Burger中和中興店",02-22429011,新北市中和區中興街163號1樓+地下室
63,環保餐廳,新北市,65000,"Q Burger中和仁愛店",02-29436889,新北市中和區仁愛街102號
64,環保餐廳,新北市,65000,"Q Burger中和民生店",02-29550810,新北市中和區民生街85巷1弄2號
65,環保餐廳,新北市,65000,"Q Burger中和民享店",02-82282005,新北市中和區民享街86巷3號1樓
66,環保餐廳,新北市,65000,"Q Burger中和自立店",02-29488588,新北市中和區自立路76號一樓
67,環保餐廳,新北市,65000,"Q Burger中和秀朗店"," 02-29222380",新北市中和區秀朗路三段48號1樓
68,環保餐廳,新北市,65000,"Q Burger中和秀福店",02-29430512,新北市中和區更生街7號1樓
69,環保餐廳,新北市,65000,"Q Burger中和宜安店",02-29470125,新北市中和區宜安路25號
70,環保餐廳,新北市,65000,"Q Burger中和板南店",02-22466351,新北市中和區連城路219巷1號
71,環保餐廳,新北市,65000,"Q Burger中和保健店",02-22460690,新北市中和區景安路22號1樓
72,環保餐廳,新北市,65000,"Q Burger中和南山店",02-22439007,新北市中和區南山路161號1樓
73,環保餐廳,新北市,65000,"Q Burger中和南勢角店",02-29470520,新北市中和區南山路174-2號
74,環保餐廳,新北市,65000,"Q Burger中和建一店",02-82282132,新北市中和區建一路157號1樓
75,環保餐廳,新北市,65000,"Q Burger中和員山店",02-82286062,新北市中和區員山路395號
76,環保餐廳,新北市,65000,"Q Burger中和泰和店",02-22466060,新北市中和區泰和街22號
77,環保餐廳,新北市,65000,"Q Burger中和連城店",02-22219606,新北市中和區連城路469巷17號
78,環保餐廳,新北市,65000,"Q Burger中和復興店",02-29462197,新北市中和區復興路54號
79,環保餐廳,新北市,65000,"Q Burger中和景安店",02-86682175,新北市中和區景新街175號1樓
80,環保餐廳,新北市,65000,"Q Burger中和景新店",02-86689008,新北市中和區景平路111巷61弄21號
81,環保餐廳,新北市,65000,"Q Burger中和景德店",02-29402661,新北市中和區景德街43號1樓
82,環保餐廳,新北市,65000,"Q Burger中和華順店",02-29620685,新北市中和區華順街120號1樓
83,環保餐廳,新北市,65000,"Q Burger中和圓通店",02-22427298,新北市中和區圓通路112號1樓
84,環保餐廳,新北市,65000,"Q Burger中和福美店",02-22490131,新北市中和區福善里福美路313號
85,環保餐廳,新北市,65000,"Q Burger中和廣福店",02-82458286,新北市中和區廣福路82號
86,環保餐廳,新北市,65000,"Q Burger中和興南店",02-86683877,新北市中和區興南路二段69號
