,機動車輛登記數－按縣市別及使用燃料分(101年9月起),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,單位：輛,
統計期,總計,,汽車,,大客車,,大客車 /自用,,大客車 /營業,,大客車 /營業 /遊覽車,,大客車 /營業 /營業(不含遊覽車),,大貨車,,大貨車 /自用,,大貨車 /營業,,小客車,,小客車 /自用,,小客車 /營業,,小客車 /營業 /租賃,,小客車 /營業 /計程車,,小客車 /營業 /其他營業小客車,,小貨車,,小貨車 /自用,,小貨車 /營業,,小貨車 /營業 /租賃,,小貨車 /營業 /營業(不含租賃),,特種車,,警備車,,救護車,,消防車,,郵車,,其他,,機車,,機車重型,,大型重型,,大型重型550cc以上,,大型重型未滿550cc,,普通重型,,機車輕型,,小型輕型,,普通輕型,
,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市
113年底,"135,599","113,863","12,938","23,581",688,389,4,2,684,387,-,-,684,387,1,-,1,-,-,-,"12,182","23,076","11,773","11,950",409,"11,126",160,"10,329",249,797,-,-,50,85,41,41,9,44,-,27,9,17,17,31,-,-,-,-,-,-,16,23,1,8,"122,661","90,282","100,116","60,918",4,6,-,-,4,6,"100,112","60,912","22,545","29,364",199,68,"22,346","29,296"
113年 3月底,"121,959","101,167","8,514","17,397",611,367,3,2,608,365,-,-,608,365,-,-,-,-,-,-,"7,863","16,937","7,638","8,669",225,"8,268",116,"7,915",109,353,-,-,23,66,23,33,-,33,-,17,-,16,17,27,-,-,-,-,-,-,16,23,1,4,"113,445","83,770","94,876","57,714",5,4,-,-,5,4,"94,871","57,710","18,569","26,056",202,76,"18,367","25,980"
113年 4月底,"123,044","102,332","8,787","17,804",611,367,3,2,608,365,-,-,608,365,-,-,-,-,-,-,"8,135","17,342","7,890","8,891",245,"8,451",120,"8,070",125,381,-,-,24,68,24,33,-,35,-,19,-,16,17,27,-,-,-,-,-,-,16,23,1,4,"114,257","84,528","95,444","58,157",5,4,-,-,5,4,"95,439","58,153","18,813","26,371",200,75,"18,613","26,296"
113年 5月底,"124,782","103,825","9,367","18,545",611,367,3,2,608,365,-,-,608,365,-,-,-,-,-,-,"8,712","18,080","8,437","9,300",275,"8,780",131,"8,370",144,410,-,-,28,71,28,33,-,38,-,22,-,16,16,27,-,-,-,-,-,-,16,23,-,4,"115,415","85,280","96,108","58,837",5,4,-,-,5,4,"96,103","58,833","19,307","26,443",200,75,"19,107","26,368"
113年 6月底,"126,799","106,180","10,206","19,809",614,367,3,2,611,365,-,-,611,365,1,-,1,-,-,-,"9,546","19,339","9,247","10,040",299,"9,299",135,"8,836",164,463,-,-,29,74,29,36,-,38,-,22,-,16,16,29,-,-,-,-,-,-,16,23,-,6,"116,593","86,371","96,752","59,183",5,4,-,-,5,4,"96,747","59,179","19,841","27,188",199,74,"19,642","27,114"
113年 7月底,"128,262","107,480","10,639","20,609",614,367,3,2,611,365,-,-,611,365,1,-,1,-,-,-,"9,979","20,139","9,658","10,377",321,"9,762",141,"9,241",180,521,-,-,29,74,29,36,-,38,-,22,-,16,16,29,-,-,-,-,-,-,16,23,-,6,"117,623","86,871","97,288","59,426",5,4,-,-,5,4,"97,283","59,422","20,335","27,445",197,74,"20,138","27,371"
