序號,餐廳類別,餐廳名稱,餐廳電話,分機,手機號碼,餐廳地址,額外環保作為
1,環保餐廳,《扶風堂》披薩。義麵。吉拉朵,(02)27153377,,,臺北市松山區敦化北路165巷5號1樓,"環境管理, 惜食(善用食材), 環境教育"
2,環保餐廳,6：35 Brunch & Dinner(大安旗艦店),(02)23770100,,,臺北市大安區復興南路二段288號,環境管理
3,環保餐廳,88號樂章-88 La Plaza,(02)27943800,,,臺北市內湖區民善街88號5樓,"環境管理, 綠色採購"
4,環保餐廳,Aunt Stella 詩特莉,(02)87721638,,,臺北市大安區忠孝東路三段300號B3,"環境管理, 源頭減量, 惜食(善用食材)"
5,環保餐廳,AW Cafe Wine Bistro,(02)27012498,,,臺北市信義區信義路四段115-2號,"環境管理, 綠色採購, 食材及餐點, 源頭減量, 惜食(打包服務), 惜食(善用食材), 環境教育"
6,環保餐廳,BaganHood 蔬食餐酒館,(02)37622557,,,臺北市信義區忠孝東路四段553巷46弄11號,"惜食(善用食材), 環境教育"
7,環保餐廳,Bar. Tender 八天餐酒館,(02)27782105,,,臺北市大安區復興南路一段107巷5弄2號,"環境管理, 源頭減量"
8,環保餐廳,Bea's Bistro 美式餐館,(02)23918827,,,臺北市大安區潮州街133號,"環境管理, 惜食(善用食材), 環境教育"
9,環保餐廳,Blooming 花漾蒔光,(02)25460909,,,臺北市松山區復興北路313巷38號,環境管理
10,環保餐廳,Blue磚塊義法廚房,(02)23110070,,,臺北市萬華區武昌街二段83之8號,環境管理
11,環保餐廳,Camo咖啡,(02)33433931,,,臺北市大安區和平東路一段129號,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材), 環境教育"
12,環保餐廳,Capricciosa卡布里喬莎(天母SOGO店),(02)28332558,,,臺北市士林區中山北路六段77號8F,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材), 環境教育"
13,環保餐廳,Chao?炒炒蔬食熱炒,(02)27753005,,,臺北市大安區大安路一段52巷21號,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材)"
