"統計期","車輛種類別","總停車位數","路外停車位數","路邊停車位數"
"109年底","總計",477,477,0
"109年底","大型車",0,0,0
"109年底","小型車",345,345,0
"109年底","機車",132,132,0
"110年底","總計",532,532,0
"110年底","大型車",0,0,0
"110年底","小型車",400,400,0
"110年底","機車",132,132,0
"111年底","總計",634,634,0
"111年底","大型車",0,0,0
"111年底","小型車",500,500,0
"111年底","機車",134,134,0
"112年底","總計",734,734,0
"112年底","大型車",0,0,0
"112年底","小型車",600,600,0
"112年底","機車",134,134,0
"113年底","總計",1334,1334,0
"113年底","大型車",0,0,0
"113年底","小型車",1200,1200,0
"113年底","機車",134,134,0
"114年底","總計",1629,1629,0
"114年底","大型車",0,0,0
"114年底","小型車",1495,1495,0
"114年底","機車",134,134,0

