年度,月份,郵遞區號,行政區,用電種類,用戶數,契約容量,售電度數(當月),售電度數(當年累計)
104,12,100,中正區,1表燈非營業用　　　　,"59,628","1,044","19,694,809",288785556
104,12,100,中正區,2表燈營業用　　　　　　,"9,829","16,449","16,511,939",193007417
104,12,100,中正區,3表燈小計　　　　　　　,**,"17,493","36,206,748",481792973
104,12,100,中正區,4低壓綜合裝置非營業用　,＊,217,"18,943",225338
104,12,100,中正區,5低壓綜合需量非營業用　,677,"30,354","4,316,781",58177037
104,12,100,中正區,6低壓綜合非營業用電小計,**,"30,571","4,335,724",58402375
104,12,100,中正區,7低壓綜合裝置營業用　　,27,1117,"111,553",1507148
104,12,100,中正區,8低壓綜合需量營業用　　,900,"39,298","7,662,758",102827446
104,12,100,中正區,9低壓綜合營業用電小計　,**,"40,415","7,774,311",104334594
104,12,100,中正區,10低壓綜合用電小計　　　,**,"70,986","12,110,035",162736969
104,12,100,中正區,11低壓裝置電力　　　　　,253,"2,645","224,756",3286469
104,12,100,中正區,12低壓需量電力　　　　　,6,107,"6,989",104532
104,12,100,中正區,13低壓電力小計　　　　　,**,"2,752","231,745",3391001
104,12,100,中正區,14高壓電力　　　　　　　,297,"225,859","63,214,762",828954281
104,12,100,中正區,15特高壓電力　　　　　　,＊,"18,040","9,328,600",114877100
104,12,100,中正區,16高＆特高壓電力小計　　,**,"243,899","72,543,362",943831381
104,12,100,中正區,17電力小計　　　　　　　,**,"246,651","72,775,107",947222382
104,12,100,中正區,18綜合＆電力小計　　　　,**,"317,637","84,885,142",1109959351
104,12,100,中正區,19電燈＆綜合＆電力小計　,**,"335,130","121,091,890",1591752324
104,12,100,中正區,20臨時電燈　　　　　　　,29,0,"40,947",399364
104,12,100,中正區,21臨時電力　　　　　　　,24,"2,163","208,320",2230040
104,12,100,中正區,22臨時用電小計　　　　　,**,"2,163","249,267",2629404
104,12,100,中正區,23總計（含臨時用電）　　,**,"335,130","121,341,157",1594381728
104,12,100,中正區,24表燈合計　　　　　　　,**,"17,493","36,247,695",482192337
104,12,100,中正區,25綜合＆電力合計　　　　,**,"317,637","85,093,462",1112189391
104,12,103,大同區,1表燈非營業用　　　　,"52,507",362,"14,505,960",221811607
104,12,103,大同區,2表燈營業用　　　　　　,"10,572","7,525","11,247,462",134958164
104,12,103,大同區,3表燈小計　　　　　　　,**,"7,887","25,753,422",356769771
104,12,103,大同區,4低壓綜合裝置非營業用　,＊,0,0,0
104,12,103,大同區,5低壓綜合需量非營業用　,417,"15,531","2,206,657",28750932
104,12,103,大同區,6低壓綜合非營業用電小計,**,"15,531","2,206,657",28750932
104,12,103,大同區,7低壓綜合裝置營業用　　,19,883,"70,476",915239
104,12,103,大同區,8低壓綜合需量營業用　　,461,"19,844","3,957,231",50875095
104,12,103,大同區,9低壓綜合營業用電小計　,**,"20,727","4,027,707",51790334
104,12,103,大同區,10低壓綜合用電小計　　　,**,"36,258","6,234,364",80541266
104,12,103,大同區,11低壓裝置電力　　　　　,268,"2,396","139,271",2090866
104,12,103,大同區,12低壓需量電力　　　　　,25,835,"102,270",1421665
104,12,103,大同區,13低壓電力小計　　　　　,**,"3,231","241,541",3512531
104,12,103,大同區,14高壓電力　　　　　　　,87,"45,855","12,787,272",167020359
104,12,103,大同區,15特高壓電力　　　　　　,＊,"24,151","12,421,000",150982200
104,12,103,大同區,16高＆特高壓電力小計　　,**,"70,006","25,208,272",318002559
104,12,103,大同區,17電力小計　　　　　　　,**,"73,237","25,449,813",321515090
104,12,103,大同區,18綜合＆電力小計　　　　,**,"109,495","31,684,177",402056356
104,12,103,大同區,19電燈＆綜合＆電力小計　,**,"117,382","57,437,599",758826127
104,12,103,大同區,20臨時電燈　　　　　　　,22,0,"20,545",185020
104,12,103,大同區,21臨時電力　　　　　　　,19,961,"127,013",1900695
104,12,103,大同區,22臨時用電小計　　　　　,**,961,"147,558",2085715
104,12,103,大同區,23總計（含臨時用電）　　,**,"117,382","57,585,157",760911842
104,12,103,大同區,24表燈合計　　　　　　　,**,"7,887","25,773,967",356954791
104,12,103,大同區,25綜合＆電力合計　　　　,**,"109,495","31,811,190",403957051
104,12,104,中山區,1表燈非營業用　　　　,"110,161","1,271","34,137,964",521753956
104,12,104,中山區,2表燈營業用　　　　　　,"20,860","38,318","38,122,191",443146542
104,12,104,中山區,3表燈小計　　　　　　　,**,"39,589","72,260,155",964900498
104,12,104,中山區,4低壓綜合裝置非營業用　,＊,130,"11,295",133764
104,12,104,中山區,5低壓綜合需量非營業用　,"1,195","47,076","6,858,250",90409193
104,12,104,中山區,6低壓綜合非營業用電小計,**,"47,206","6,869,545",90542957
104,12,104,中山區,7低壓綜合裝置營業用　　,43,"1,788","192,184",2615840
104,12,104,中山區,8低壓綜合需量營業用　　,"1,565","71,425","15,002,433",194128054
104,12,104,中山區,9低壓綜合營業用電小計　,**,"73,213","15,194,617",196743894
104,12,104,中山區,10低壓綜合用電小計　　　,**,"120,419","22,064,162",287286851
104,12,104,中山區,11低壓裝置電力　　　　　,231,"2,653","182,334",2559968
104,12,104,中山區,12低壓需量電力　　　　　,9,724,"105,410",1400802
104,12,104,中山區,13低壓電力小計　　　　　,**,"3,377","287,744",3960770
104,12,104,中山區,14高壓電力　　　　　　　,322,"210,062","56,944,795",728027429
104,12,104,中山區,15特高壓電力　　　　　　,＊,"27,700","7,987,200",93155200
104,12,104,中山區,16高＆特高壓電力小計　　,**,"237,762","64,931,995",821182629
104,12,104,中山區,17電力小計　　　　　　　,**,"241,139","65,219,739",825143399
104,12,104,中山區,18綜合＆電力小計　　　　,**,"361,558","87,283,901",1112430250
104,12,104,中山區,19電燈＆綜合＆電力小計　,**,"401,147","159,544,056",2077330748
104,12,104,中山區,20臨時電燈　　　　　　　,38,0,"25,613",689171
104,12,104,中山區,21臨時電力　　　　　　　,34,"2,264","256,943",4600785
104,12,104,中山區,22臨時用電小計　　　　　,**,"2,264","282,556",5289956
104,12,104,中山區,23總計（含臨時用電）　　,**,"401,147","159,826,612",2082620704
104,12,104,中山區,24表燈合計　　　　　　　,**,"39,589","72,285,768",965589669
104,12,104,中山區,25綜合＆電力合計　　　　,**,"361,558","87,540,844",1117031035
104,12,105,松山區,1表燈非營業用　　　　,"72,319",1011,"29,941,293",358690058
104,12,105,松山區,2表燈營業用　　　　　　,"11,632","18,515","24,308,688",252863920
104,12,105,松山區,3表燈小計　　　　　　　,**,"19,526","54,249,981",611553978
104,12,105,松山區,4低壓綜合裝置非營業用　,＊,137,"7,030",64934
104,12,105,松山區,5低壓綜合需量非營業用　,542,"21,594","3,464,769",45767833
104,12,105,松山區,6低壓綜合非營業用電小計,**,"21,731","3,471,799",45832767
104,12,105,松山區,7低壓綜合裝置營業用　　,＊,154,"16,336",275603
104,12,105,松山區,8低壓綜合需量營業用　　,822,"40,592","8,503,549",111305829
104,12,105,松山區,9低壓綜合營業用電小計　,**,"40,746","8,519,885",111581432
104,12,105,松山區,10低壓綜合用電小計　　　,**,"62,477","11,991,684",157414199
104,12,105,松山區,11低壓裝置電力　　　　　,64,588,"35,096",557266
