年度,月份,郵遞區號,行政區,項目,用戶數(戶),契約容量(kW),售電度數(度)
112,1,100,中正區,1表燈非營業用,62336,1651,20972087
112,1,100,中正區,2表燈營業用,9695,22476,13312176
112,1,100,中正區,3表燈小計,**,24127,34284263
112,1,100,中正區,4低壓綜合裝置非營業用,*,217,13168
112,1,100,中正區,5低壓綜合需量非營業用,779,31253,4581626
112,1,100,中正區,6低壓電動車非營業用,*,0,0
112,1,100,中正區,7低壓綜合非營業用電小計,**,31470,4594794
112,1,100,中正區,8低壓綜合裝置營業用,22,935,70768
112,1,100,中正區,9低壓綜合需量營業用,870,36655,6749328
112,1,100,中正區,10低壓電動車營業用,*,0,0
112,1,100,中正區,11低壓綜合營業用電小計,**,37590,6820096
112,1,100,中正區,12低壓綜合用電小計,**,69060,11414890
112,1,100,中正區,13低壓裝置電力,209,2214,139698
112,1,100,中正區,14低壓需量電力,*,87,5306
112,1,100,中正區,15低壓電力小計,**,2301,145004
112,1,100,中正區,16高壓電力,300,211614,50911444
112,1,100,中正區,17高壓電動車,*,0,0
112,1,100,中正區,18特高壓電力,*,12200,4354777
112,1,100,中正區,19高＆特高壓電力小計,**,223814,55266221
112,1,100,中正區,20電力小計,**,226115,55411225
112,1,100,中正區,21綜合＆電力小計,**,295175,66826115
112,1,100,中正區,22電燈＆綜合＆電力小計,**,319302,101110378
112,1,100,中正區,23臨時電燈,21,0,18798
112,1,100,中正區,24臨時電力,42,3152,382079
112,1,100,中正區,25臨時用電小計,**,3152,400877
112,1,100,中正區,26總計（含臨時用電）,**,319302,101511255
112,1,100,中正區,27表燈合計,**,24127,34303061
112,1,100,中正區,28綜合＆電力合計,**,295175,67208194
112,1,103,大同區,1表燈非營業用,55900,492,18046915
112,1,103,大同區,2表燈營業用,10217,11161,9661569
112,1,103,大同區,3表燈小計,**,11653,27708484
112,1,103,大同區,4低壓綜合裝置非營業用,*,0,0
112,1,103,大同區,5低壓綜合需量非營業用,509,18494,2600519
112,1,103,大同區,6低壓電動車非營業用,*,0,0
112,1,103,大同區,7低壓綜合非營業用電小計,**,18494,2600519
112,1,103,大同區,8低壓綜合裝置營業用,13,577,52709
112,1,103,大同區,9低壓綜合需量營業用,450,18817,3243746
112,1,103,大同區,10低壓電動車營業用,*,0,0
112,1,103,大同區,11低壓綜合營業用電小計,**,19394,3296455
112,1,103,大同區,12低壓綜合用電小計,**,37888,5896974
112,1,103,大同區,13低壓裝置電力,209,1907,94574
112,1,103,大同區,14低壓需量電力,19,359,23180
112,1,103,大同區,15低壓電力小計,**,2266,117754
112,1,103,大同區,16高壓電力,82,40833,10317086
112,1,103,大同區,17高壓電動車,*,0,0
112,1,103,大同區,18特高壓電力,*,23073,12133200
112,1,103,大同區,19高＆特高壓電力小計,**,63906,22450286
112,1,103,大同區,20電力小計,**,66172,22568040
112,1,103,大同區,21綜合＆電力小計,**,104060,28465014
112,1,103,大同區,22電燈＆綜合＆電力小計,**,115713,56173498
112,1,103,大同區,23臨時電燈,19,0,11199
112,1,103,大同區,24臨時電力,32,2142,252005
112,1,103,大同區,25臨時用電小計,**,2142,263204
112,1,103,大同區,26總計（含臨時用電）,**,115713,56436702
112,1,103,大同區,27表燈合計,**,11653,27719683
112,1,103,大同區,28綜合＆電力合計,**,104060,28717019
112,1,104,中山區,1表燈非營業用,114192,2633,43496190
112,1,104,中山區,2表燈營業用,20652,49205,30537849
112,1,104,中山區,3表燈小計,**,51838,74034039
112,1,104,中山區,4低壓綜合裝置非營業用,*,130,7027
112,1,104,中山區,5低壓綜合需量非營業用,1321,47620,7036911
112,1,104,中山區,6低壓電動車非營業用,*,0,0
112,1,104,中山區,7低壓綜合非營業用電小計,**,47750,7043938
112,1,104,中山區,8低壓綜合裝置營業用,34,1336,118306
112,1,104,中山區,9低壓綜合需量營業用,1527,69192,13655051
112,1,104,中山區,10低壓電動車營業用,*,599,28040
112,1,104,中山區,11低壓綜合營業用電小計,**,71127,13801397
112,1,104,中山區,12低壓綜合用電小計,**,118877,20845335
112,1,104,中山區,13低壓裝置電力,192,2295,118993
112,1,104,中山區,14低壓需量電力,10,913,130054
112,1,104,中山區,15低壓電力小計,**,3208,249047
112,1,104,中山區,16高壓電力,311,195646,96777281
112,1,104,中山區,17高壓電動車,*,0,0
112,1,104,中山區,18特高壓電力,*,17021,6333200
112,1,104,中山區,19高＆特高壓電力小計,**,212667,103110481
112,1,104,中山區,20電力小計,**,215875,103359528
112,1,104,中山區,21綜合＆電力小計,**,334752,124204863
112,1,104,中山區,22電燈＆綜合＆電力小計,**,386590,198238902
112,1,104,中山區,23臨時電燈,15,0,6273
112,1,104,中山區,24臨時電力,62,4305,309530
112,1,104,中山區,25臨時用電小計,**,4305,315803
112,1,104,中山區,26總計（含臨時用電）,**,386590,198554705
112,1,104,中山區,27表燈合計,**,51838,74040312
112,1,104,中山區,28綜合＆電力合計,**,334752,124514393
112,1,105,松山區,1表燈非營業用,73379,1006,19345152
112,1,105,松山區,2表燈營業用,11735,24258,15373667
112,1,105,松山區,3表燈小計,**,25264,34718819
112,1,105,松山區,4低壓綜合裝置非營業用,*,137,5918
112,1,105,松山區,5低壓綜合需量非營業用,581,22241,3457625
112,1,105,松山區,6低壓電動車非營業用,*,0,0
112,1,105,松山區,7低壓綜合非營業用電小計,**,22378,3463543
112,1,105,松山區,8低壓綜合裝置營業用,*,154,16242
112,1,105,松山區,9低壓綜合需量營業用,789,36204,7285102
112,1,105,松山區,10低壓電動車營業用,*,0,0
112,1,105,松山區,11低壓綜合營業用電小計,**,36358,7301344
112,1,105,松山區,12低壓綜合用電小計,**,58736,10764887
112,1,105,松山區,13低壓裝置電力,53,480,31516
112,1,105,松山區,14低壓需量電力,9,431,72549
112,1,105,松山區,15低壓電力小計,**,911,104065
112,1,105,松山區,16高壓電力,155,116478,24475484
112,1,105,松山區,17高壓電動車,*,0,0
112,1,105,松山區,18特高壓電力,*,7434,3403200
112,1,105,松山區,19高＆特高壓電力小計,**,123912,27878684
112,1,105,松山區,20電力小計,**,124823,27982749
112,1,105,松山區,21綜合＆電力小計,**,183559,38747636
112,1,105,松山區,22電燈＆綜合＆電力小計,**,208823,73466455
112,1,105,松山區,23臨時電燈,6,0,829
112,1,105,松山區,24臨時電力,37,1974,215660
112,1,105,松山區,25臨時用電小計,**,1974,216489
112,1,105,松山區,26總計（含臨時用電）,**,208823,73682944
112,1,105,松山區,27表燈合計,**,25264,34719648
112,1,105,松山區,28綜合＆電力合計,**,183559,38963296
112,1,106,大安區,1表燈非營業用,112584,2362,52320886
112,1,106,大安區,2表燈營業用,17254,48072,29715525
112,1,106,大安區,3表燈小計,**,50434,82036411
112,1,106,大安區,4低壓綜合裝置非營業用,6,235,15473
112,1,106,大安區,5低壓綜合需量非營業用,1175,43592,6503899
112,1,106,大安區,6低壓電動車非營業用,*,0,0
112,1,106,大安區,7低壓綜合非營業用電小計,**,43827,6519372
112,1,106,大安區,8低壓綜合裝置營業用,7,285,29922
112,1,106,大安區,9低壓綜合需量營業用,1350,56647,10006790
112,1,106,大安區,10低壓電動車營業用,*,0,0
112,1,106,大安區,11低壓綜合營業用電小計,**,56932,10036712
112,1,106,大安區,12低壓綜合用電小計,**,100759,16556084
112,1,106,大安區,13低壓裝置電力,108,1303,106645
112,1,106,大安區,14低壓需量電力,*,253,44743
112,1,106,大安區,15低壓電力小計,**,1556,151388
112,1,106,大安區,16高壓電力,274,199885,47352323
112,1,106,大安區,17高壓電動車,*,0,0
112,1,106,大安區,18特高壓電力,*,16469,7202041
112,1,106,大安區,19高＆特高壓電力小計,**,216354,54554364
112,1,106,大安區,20電力小計,**,217910,54705752
112,1,106,大安區,21綜合＆電力小計,**,318669,71261836
112,1,106,大安區,22電燈＆綜合＆電力小計,**,369103,153298247
112,1,106,大安區,23臨時電燈,30,0,18141
112,1,106,大安區,24臨時電力,64,4444,435509
112,1,106,大安區,25臨時用電小計,**,4444,453650
112,1,106,大安區,26總計（含臨時用電）,**,369103,153751897
112,1,106,大安區,27表燈合計,**,50434,82054552
112,1,106,大安區,28綜合＆電力合計,**,318669,71697345
112,1,108,萬華區,1表燈非營業用,79684,1289,22446482
112,1,108,萬華區,2表燈營業用,8816,18818,10982440
112,1,108,萬華區,3表燈小計,**,20107,33428922
112,1,108,萬華區,4低壓綜合裝置非營業用,*,0,0
112,1,108,萬華區,5低壓綜合需量非營業用,406,14370,2040440
112,1,108,萬華區,6低壓電動車非營業用,*,0,0
112,1,108,萬華區,7低壓綜合非營業用電小計,**,14370,2040440
112,1,108,萬華區,8低壓綜合裝置營業用,28,1326,129486
112,1,108,萬華區,9低壓綜合需量營業用,631,20992,4373506
112,1,108,萬華區,10低壓電動車營業用,*,0,0
112,1,108,萬華區,11低壓綜合營業用電小計,**,22318,4502992
112,1,108,萬華區,12低壓綜合用電小計,**,36688,6543432
112,1,108,萬華區,13低壓裝置電力,261,2704,142088
112,1,108,萬華區,14低壓需量電力,29,804,181579
112,1,108,萬華區,15低壓電力小計,**,3508,323667
112,1,108,萬華區,16高壓電力,106,47190,10525793
112,1,108,萬華區,17高壓電動車,*,0,0
112,1,108,萬華區,18特高壓電力,*,0,0
112,1,108,萬華區,19高＆特高壓電力小計,**,47190,10525793
112,1,108,萬華區,20電力小計,**,50698,10849460
112,1,108,萬華區,21綜合＆電力小計,**,87386,17392892
112,1,108,萬華區,22電燈＆綜合＆電力小計,**,107493,50821814
112,1,108,萬華區,23臨時電燈,14,0,31035
112,1,108,萬華區,24臨時電力,39,3719,562197
112,1,108,萬華區,25臨時用電小計,**,3719,593232
112,1,108,萬華區,26總計（含臨時用電）,**,107493,51415046
112,1,108,萬華區,27表燈合計,**,20107,33459957
112,1,108,萬華區,28綜合＆電力合計,**,87386,17955089
112,1,110,信義區,1表燈非營業用,86525,1079,39640155
112,1,110,信義區,2表燈營業用,10103,17810,16668195
112,1,110,信義區,3表燈小計,**,18889,56308350
112,1,110,信義區,4低壓綜合裝置非營業用,*,0,0
112,1,110,信義區,5低壓綜合需量非營業用,675,30405,4416147
112,1,110,信義區,6低壓電動車非營業用,*,35,80
112,1,110,信義區,7低壓綜合非營業用電小計,**,30440,4416227
112,1,110,信義區,8低壓綜合裝置營業用,*,28,6850
112,1,110,信義區,9低壓綜合需量營業用,533,23485,4610078
112,1,110,信義區,10低壓電動車營業用,*,0,0
112,1,110,信義區,11低壓綜合營業用電小計,**,23513,4616928
112,1,110,信義區,12低壓綜合用電小計,**,53953,9033155
112,1,110,信義區,13低壓裝置電力,20,202,19828
112,1,110,信義區,14低壓需量電力,7,1080,125376
112,1,110,信義區,15低壓電力小計,**,1282,145204
112,1,110,信義區,16高壓電力,144,194858,51384504
112,1,110,信義區,17高壓電動車,*,0,0
