年度,月份,郵遞區號,行政區,用電種類,用戶數,契約容量,售電度數(當月),售電度數(當年累計)
111,12,100,中正區,1表燈非營業用　　　　　,62342,1646,21086498,292704103
111,12,100,中正區,2表燈營業用　　　　　　,9709,22564,16189904,187521187
111,12,100,中正區,3表燈小計　　　　　　　,**,24210,37276402,480225290
111,12,100,中正區,4低壓綜合裝置非營業用　,*,217,13627,210185
111,12,100,中正區,5低壓綜合需量非營業用　,780,31283,4816768,57829583
111,12,100,中正區,6低壓電動車非營業用　,*,0,0,0
111,12,100,中正區,7低壓綜合非營業用電小計,**,31500,4830395,58039768
111,12,100,中正區,8低壓綜合裝置營業用　　,22,935,87615,960558
111,12,100,中正區,9低壓綜合需量營業用　　,869,36580,7639398,89820013
111,12,100,中正區,10低壓電動車營業用　,*,0,0,0
111,12,100,中正區,11低壓綜合營業用電小計　,**,37515,7727013,90780571
111,12,100,中正區,12低壓綜合用電小計　　　,**,69015,12557408,148820339
111,12,100,中正區,13低壓裝置電力　　　　　,209,2214,184070,2242126
111,12,100,中正區,14低壓需量電力　　　　　,*,87,5176,71853
111,12,100,中正區,15低壓電力小計　　　　　,**,2301,189246,2313979
111,12,100,中正區,16高壓電力　　　　　　,300,211986,54438050,748418983
111,12,100,中正區,17高壓電動車　　　　　,*,0,0,0
111,12,100,中正區,18特高壓電力　　　　　　,*,12200,3566533,56823316
111,12,100,中正區,19高＆特高壓電力小計　　,**,224186,58004583,805242299
111,12,100,中正區,20電力小計　　　　　　　,**,226487,58193829,807556278
111,12,100,中正區,21綜合＆電力小計　　　　,**,295502,70751237,956376617
111,12,100,中正區,22電燈＆綜合＆電力小計　,**,319712,108027639,1436601907
111,12,100,中正區,23臨時電燈　　　　　　　,22,0,41653,300296
111,12,100,中正區,24臨時電力　　　　　　,42,3152,454195,7308818
111,12,100,中正區,25臨時用電小計　　　　　,**,3152,495848,7609114
111,12,100,中正區,26總計（含臨時用電）　　,**,319712,108523487,1444211021
111,12,100,中正區,27表燈合計　　　　　　　,**,24210,37318055,480525586
111,12,100,中正區,28綜合＆電力合計　　　　,**,295502,71205432,963685435
111,12,103,大同區,1表燈非營業用　　　　　,55897,492,15409821,233475449
111,12,103,大同區,2表燈營業用　　　　　　,10221,11141,11182454,131695747
111,12,103,大同區,3表燈小計　　　　　　　,**,11633,26592275,365171196
111,12,103,大同區,4低壓綜合裝置非營業用　,*,0,0,0
111,12,103,大同區,5低壓綜合需量非營業用　,507,18418,2670079,31425855
111,12,103,大同區,6低壓電動車非營業用　,*,0,0,0
111,12,103,大同區,7低壓綜合非營業用電小計,**,18418,2670079,31425855
111,12,103,大同區,8低壓綜合裝置營業用　　,13,577,62875,769896
111,12,103,大同區,9低壓綜合需量營業用　　,452,18920,3705857,44576226
111,12,103,大同區,10低壓電動車營業用　,*,0,0,0
111,12,103,大同區,11低壓綜合營業用電小計　,**,19497,3768732,45346122
111,12,103,大同區,12低壓綜合用電小計　　　,**,37915,6438811,76771977
111,12,103,大同區,13低壓裝置電力　　　　　,209,1907,107741,1523186
111,12,103,大同區,14低壓需量電力　　　　　,19,359,24850,312646
111,12,103,大同區,15低壓電力小計　　　　　,**,2266,132591,1835832
111,12,103,大同區,16高壓電力　　　　　　,82,40888,10333637,139686289
111,12,103,大同區,17高壓電動車　　　　　,*,0,0,0
111,12,103,大同區,18特高壓電力　　　　　　,*,23073,12344400,153623800
111,12,103,大同區,19高＆特高壓電力小計　　,**,63961,22678037,293310089
111,12,103,大同區,20電力小計　　　　　　　,**,66227,22810628,295145921
111,12,103,大同區,21綜合＆電力小計　　　　,**,104142,29249439,371917898
111,12,103,大同區,22電燈＆綜合＆電力小計　,**,115775,55841714,737089094
111,12,103,大同區,23臨時電燈　　　　　　　,18,0,8753,120718
111,12,103,大同區,24臨時電力　　　　　　,30,1892,200186,2633805
111,12,103,大同區,25臨時用電小計　　　　　,**,1892,208939,2754523
111,12,103,大同區,26總計（含臨時用電）　　,**,115775,56050653,739843617
111,12,103,大同區,27表燈合計　　　　　　　,**,11633,26601028,365291914
111,12,103,大同區,28綜合＆電力合計　　　　,**,104142,29449625,374551703
111,12,104,中山區,1表燈非營業用　　　　　,114179,2663,36836747,553345640
111,12,104,中山區,2表燈營業用　　　　　　,20656,48960,36020021,415046229
111,12,104,中山區,3表燈小計　　　　　　　,**,51623,72856768,968391869
111,12,104,中山區,4低壓綜合裝置非營業用　,*,130,8919,92808
111,12,104,中山區,5低壓綜合需量非營業用　,1322,47734,7196749,88576723
111,12,104,中山區,6低壓電動車非營業用　,*,0,0,0
111,12,104,中山區,7低壓綜合非營業用電小計,**,47864,7205668,88669531
111,12,104,中山區,8低壓綜合裝置營業用　　,34,1336,134697,1639005
111,12,104,中山區,9低壓綜合需量營業用　　,1528,69052,14984501,179139834
111,12,104,中山區,10低壓電動車營業用　,*,599,16240,41640
111,12,104,中山區,11低壓綜合營業用電小計　,**,70987,15135438,180820479
111,12,104,中山區,12低壓綜合用電小計　　　,**,118851,22341106,269490010
111,12,104,中山區,13低壓裝置電力　　　　　,192,2295,148228,1916613
111,12,104,中山區,14低壓需量電力　　　　　,10,918,146126,1707237
111,12,104,中山區,15低壓電力小計　　　　　,**,3213,294354,3623850
111,12,104,中山區,16高壓電力　　　　　　,311,195721,46915188,645059542
111,12,104,中山區,17高壓電動車　　　　　,*,0,0,0
111,12,104,中山區,18特高壓電力　　　　　　,*,17021,6712000,87046000
111,12,104,中山區,19高＆特高壓電力小計　　,**,212742,53627188,732105542
111,12,104,中山區,20電力小計　　　　　　　,**,215955,53921542,735729392
111,12,104,中山區,21綜合＆電力小計　　　　,**,334806,76262648,1005219402
111,12,104,中山區,22電燈＆綜合＆電力小計　,**,386429,149119416,1973611271
111,12,104,中山區,23臨時電燈　　　　　　　,15,0,17724,237785
111,12,104,中山區,24臨時電力　　　　　　,61,4021,329978,3726988
111,12,104,中山區,25臨時用電小計　　　　　,**,4021,347702,3964773
111,12,104,中山區,26總計（含臨時用電）　　,**,386429,149467118,1977576044
111,12,104,中山區,27表燈合計　　　　　　　,**,51623,72874492,968629654
111,12,104,中山區,28綜合＆電力合計　　　　,**,334806,76592626,1008946390
111,12,105,松山區,1表燈非營業用　　　　　,73388,1032,30591471,363835961
111,12,105,松山區,2表燈營業用　　　　　　,11743,24305,22185209,239146539
111,12,105,松山區,3表燈小計　　　　　　　,**,25337,52776680,602982500
111,12,105,松山區,4低壓綜合裝置非營業用　,*,137,6248,72126
111,12,105,松山區,5低壓綜合需量非營業用　,582,22453,3521190,43176201
111,12,105,松山區,6低壓電動車非營業用　,*,0,0,0
111,12,105,松山區,7低壓綜合非營業用電小計,**,22590,3527438,43248327
111,12,105,松山區,8低壓綜合裝置營業用　　,*,154,18529,231218
111,12,105,松山區,9低壓綜合需量營業用　　,789,36286,8032630,96652451
111,12,105,松山區,10低壓電動車營業用　,*,0,0,0
111,12,105,松山區,11低壓綜合營業用電小計　,**,36440,8051159,96883669
111,12,105,松山區,12低壓綜合用電小計　　　,**,59030,11578597,140131996
111,12,105,松山區,13低壓裝置電力　　　　　,54,486,38584,487478
111,12,105,松山區,14低壓需量電力　　　　　,9,431,76703,910689
111,12,105,松山區,15低壓電力小計　　　　　,**,917,115287,1398167
111,12,105,松山區,16高壓電力　　　　　　,155,116478,27117527,365168584
111,12,105,松山區,17高壓電動車　　　　　,*,0,0,0
111,12,105,松山區,18特高壓電力　　　　　　,*,7434,3569600,44198400
111,12,105,松山區,19高＆特高壓電力小計　　,**,123912,30687127,409366984
111,12,105,松山區,20電力小計　　　　　　　,**,124829,30802414,410765151
111,12,105,松山區,21綜合＆電力小計　　　　,**,183859,42381011,550897147
111,12,105,松山區,22電燈＆綜合＆電力小計　,**,209196,95157691,1153879647
111,12,105,松山區,23臨時電燈　　　　　　　,*,0,2440,35968
111,12,105,松山區,24臨時電力　　　　　　,37,1968,184280,1706495
111,12,105,松山區,25臨時用電小計　　　　　,**,1968,186720,1742463
111,12,105,松山區,26總計（含臨時用電）　　,**,209196,95344411,1155622110
111,12,105,松山區,27表燈合計　　　　　　　,**,25337,52779120,603018468
111,12,105,松山區,28綜合＆電力合計　　　　,**,183859,42565291,552603642
111,12,106,大安區,1表燈非營業用　　　　　,112608,2344,32602140,599395474
111,12,106,大安區,2表燈營業用　　　　　　,17260,47994,24632018,354389961
111,12,106,大安區,3表燈小計　　　　　　　,**,50338,57234158,953785435
111,12,106,大安區,4低壓綜合裝置非營業用　,6,235,16435,197510
111,12,106,大安區,5低壓綜合需量非營業用　,1176,43927,6853349,82829054
111,12,106,大安區,6低壓電動車非營業用　,*,0,0,0
111,12,106,大安區,7低壓綜合非營業用電小計,**,44162,6869784,83026564
111,12,106,大安區,8低壓綜合裝置營業用　　,7,285,35198,388728
111,12,106,大安區,9低壓綜合需量營業用　　,1355,56785,11532086,139653335
111,12,106,大安區,10低壓電動車營業用　,*,0,0,0
111,12,106,大安區,11低壓綜合營業用電小計　,**,57070,11567284,140042063
111,12,106,大安區,12低壓綜合用電小計　　　,**,101232,18437068,223068627
111,12,106,大安區,13低壓裝置電力　　　　　,108,1303,135017,1649388
111,12,106,大安區,14低壓需量電力　　　　　,*,253,38181,511303
111,12,106,大安區,15低壓電力小計　　　　　,**,1556,173198,2160691
111,12,106,大安區,16高壓電力　　　　　　,274,200085,51999696,711684947
111,12,106,大安區,17高壓電動車　　　　　,*,0,0,0
111,12,106,大安區,18特高壓電力　　　　　　,*,16469,7688784,96707301
111,12,106,大安區,19高＆特高壓電力小計　　,**,216554,59688480,808392248
111,12,106,大安區,20電力小計　　　　　　　,**,218110,59861678,810552939
111,12,106,大安區,21綜合＆電力小計　　　　,**,319342,78298746,1033621566
111,12,106,大安區,22電燈＆綜合＆電力小計　,**,369680,135532904,1987407001
111,12,106,大安區,23臨時電燈　　　　　　　,29,0,16078,227649
111,12,106,大安區,24臨時電力　　　　　　,61,4546,450645,4985058
111,12,106,大安區,25臨時用電小計　　　　　,**,4546,466723,5212707
111,12,106,大安區,26總計（含臨時用電）　　,**,369680,135999627,1992619708
111,12,106,大安區,27表燈合計　　　　　　　,**,50338,57250236,954013084
111,12,106,大安區,28綜合＆電力合計　　　　,**,319342,78749391,1038606624
111,12,108,萬華區,1表燈非營業用　　　　　,79717,1274,22901731,323344491
111,12,108,萬華區,2表燈營業用　　　　　　,8830,18761,11290528,139933524
111,12,108,萬華區,3表燈小計　　　　　　　,**,20035,34192259,463278015
111,12,108,萬華區,4低壓綜合裝置非營業用　,*,0,0,0
111,12,108,萬華區,5低壓綜合需量非營業用　,404,14351,2056181,25901104
111,12,108,萬華區,6低壓電動車非營業用　,*,0,0,0
111,12,108,萬華區,7低壓綜合非營業用電小計,**,14351,2056181,25901104
111,12,108,萬華區,8低壓綜合裝置營業用　　,29,1380,149235,1921199
111,12,108,萬華區,9低壓綜合需量營業用　　,636,21104,4778090,57879063
111,12,108,萬華區,10低壓電動車營業用　,*,0,0,0
111,12,108,萬華區,11低壓綜合營業用電小計　,**,22484,4927325,59800262
111,12,108,萬華區,12低壓綜合用電小計　　　,**,36835,6983506,85701366
111,12,108,萬華區,13低壓裝置電力　　　　　,262,2706,192292,2501136
111,12,108,萬華區,14低壓需量電力　　　　　,30,810,186481,3040614
111,12,108,萬華區,15低壓電力小計　　　　　,**,3516,378773,5541750
111,12,108,萬華區,16高壓電力　　　　　　,107,47700,11168051,149668450
111,12,108,萬華區,17高壓電動車　　　　　,*,0,0,0
111,12,108,萬華區,18特高壓電力　　　　　　,*,0,0,0
