年度,月份,郵遞區號,行政區,項目,用戶數(戶),契約容量(kW),售電度數(度)
115,01,100,中正區,1表燈非營業用,63336,1774,18032299
115,01,100,中正區,2表燈營業用,9758,23633,12580053
115,01,100,中正區,3表燈小計,**,25407,30612352
115,01,100,中正區,4低壓綜合裝置非營業用,*,140,9870
115,01,100,中正區,5低壓綜合需量非營業用,802,30944,4257668
115,01,100,中正區,6低壓電動車非營業用,*,139,11240
115,01,100,中正區,7低壓綜合非營業用電小計,**,31223,4278778
115,01,100,中正區,8低壓綜合裝置營業用,21,897,63864
115,01,100,中正區,9低壓綜合需量營業用,836,34537,6236921
115,01,100,中正區,10低壓電動車營業用,*,590,65120
115,01,100,中正區,11低壓綜合營業用電小計,**,36024,6365905
115,01,100,中正區,12低壓綜合用電小計,**,67247,10644683
115,01,100,中正區,13低壓裝置電力,199,2122,129069
115,01,100,中正區,14低壓需量電力,*,87,4761
115,01,100,中正區,15低壓電力小計,**,2209,133830
115,01,100,中正區,16高壓電力,298,201405,49363736
115,01,100,中正區,17高壓電動車,*,0,0
115,01,100,中正區,18特高壓電力,*,11800,2940891
115,01,100,中正區,19高＆特高壓電力小計,**,213205,52304627
115,01,100,中正區,20電力小計,**,215414,52438457
115,01,100,中正區,21綜合＆電力小計,**,282661,63083140
115,01,100,中正區,22電燈＆綜合＆電力小計,**,308068,93695492
115,01,100,中正區,23臨時電燈,26,0,29818
115,01,100,中正區,24臨時電力,51,5439,557421
115,01,100,中正區,25臨時用電小計,**,5439,587239
115,01,100,中正區,26總計（含臨時用電）,**,308068,94282731
115,01,100,中正區,27表燈合計,**,25407,30642170
115,01,100,中正區,28綜合＆電力合計,**,282661,63640561
115,01,103,大同區,1表燈非營業用,56793,461,15839945
115,01,103,大同區,2表燈營業用,9978,11824,8695519
115,01,103,大同區,3表燈小計,**,12285,24535464
115,01,103,大同區,4低壓綜合裝置非營業用,*,0,0
115,01,103,大同區,5低壓綜合需量非營業用,552,18596,2204280
115,01,103,大同區,6低壓電動車非營業用,*,131,4120
115,01,103,大同區,7低壓綜合非營業用電小計,**,18727,2208400
115,01,103,大同區,8低壓綜合裝置營業用,13,577,34294
115,01,103,大同區,9低壓綜合需量營業用,419,17646,2712457
115,01,103,大同區,10低壓電動車營業用,9,348,21640
115,01,103,大同區,11低壓綜合營業用電小計,**,18571,2768391
115,01,103,大同區,12低壓綜合用電小計,**,37298,4976791
115,01,103,大同區,13低壓裝置電力,193,1771,69848
115,01,103,大同區,14低壓需量電力,16,281,16811
115,01,103,大同區,15低壓電力小計,**,2052,86659
115,01,103,大同區,16高壓電力,80,42103,8964130
115,01,103,大同區,17高壓電動車,*,799,1520
115,01,103,大同區,18特高壓電力,*,24500,10728400
115,01,103,大同區,19高＆特高壓電力小計,**,67402,19694050
115,01,103,大同區,20電力小計,**,69454,19780709
115,01,103,大同區,21綜合＆電力小計,**,106752,24757500
115,01,103,大同區,22電燈＆綜合＆電力小計,**,119037,49292964
115,01,103,大同區,23臨時電燈,28,0,26071
115,01,103,大同區,24臨時電力,44,3202,273620
115,01,103,大同區,25臨時用電小計,**,3202,299691
115,01,103,大同區,26總計（含臨時用電）,**,119037,49592655
115,01,103,大同區,27表燈合計,**,12285,24561535
115,01,103,大同區,28綜合＆電力合計,**,106752,25031120
115,01,104,中山區,1表燈非營業用,115395,3044,37122585
115,01,104,中山區,2表燈營業用,20516,49199,27951857
115,01,104,中山區,3表燈小計,**,52243,65074442
115,01,104,中山區,4低壓綜合裝置非營業用,*,130,2467
115,01,104,中山區,5低壓綜合需量非營業用,1396,50257,6485704
115,01,104,中山區,6低壓電動車非營業用,*,110,480
115,01,104,中山區,7低壓綜合非營業用電小計,**,50497,6488651
115,01,104,中山區,8低壓綜合裝置營業用,33,1288,108005
115,01,104,中山區,9低壓綜合需量營業用,1481,68270,11857944
115,01,104,中山區,10低壓電動車營業用,*,1121,121000
115,01,104,中山區,11低壓綜合營業用電小計,**,70679,12086949
115,01,104,中山區,12低壓綜合用電小計,**,121176,18575600
115,01,104,中山區,13低壓裝置電力,173,2098,83108
115,01,104,中山區,14低壓需量電力,13,1218,119530
115,01,104,中山區,15低壓電力小計,**,3316,202638
115,01,104,中山區,16高壓電力,296,183734,41794690
115,01,104,中山區,17高壓電動車,*,403,34480
115,01,104,中山區,18特高壓電力,*,18350,6681600
115,01,104,中山區,19高＆特高壓電力小計,**,202487,48510770
115,01,104,中山區,20電力小計,**,205803,48713408
115,01,104,中山區,21綜合＆電力小計,**,326979,67289008
115,01,104,中山區,22電燈＆綜合＆電力小計,**,379222,132363450
115,01,104,中山區,23臨時電燈,24,0,25933
115,01,104,中山區,24臨時電力,94,7373,670281
115,01,104,中山區,25臨時用電小計,**,7373,696214
115,01,104,中山區,26總計（含臨時用電）,**,379222,133059664
115,01,104,中山區,27表燈合計,**,52243,65100375
115,01,104,中山區,28綜合＆電力合計,**,326979,67959289
115,01,105,松山區,1表燈非營業用,74613,1197,16611737
115,01,105,松山區,2表燈營業用,11618,24465,13866502
115,01,105,松山區,3表燈小計,**,25662,30478239
115,01,105,松山區,4低壓綜合裝置非營業用,*,92,4000
115,01,105,松山區,5低壓綜合需量非營業用,612,23060,3253415
115,01,105,松山區,6低壓電動車非營業用,*,360,52440
115,01,105,松山區,7低壓綜合非營業用電小計,**,23512,3309855
115,01,105,松山區,8低壓綜合裝置營業用,*,154,14833
115,01,105,松山區,9低壓綜合需量營業用,753,34579,6218971
115,01,105,松山區,10低壓電動車營業用,*,84,4880
115,01,105,松山區,11低壓綜合營業用電小計,**,34817,6238684
115,01,105,松山區,12低壓綜合用電小計,**,58329,9548539
115,01,105,松山區,13低壓裝置電力,51,470,28073
115,01,105,松山區,14低壓需量電力,8,261,39081
115,01,105,松山區,15低壓電力小計,**,731,67154
115,01,105,松山區,16高壓電力,152,110877,23925156
115,01,105,松山區,17高壓電動車,*,2400,324840
115,01,105,松山區,18特高壓電力,*,8750,3318400
115,01,105,松山區,19高＆特高壓電力小計,**,122027,27568396
115,01,105,松山區,20電力小計,**,122758,27635550
115,01,105,松山區,21綜合＆電力小計,**,181087,37184089
115,01,105,松山區,22電燈＆綜合＆電力小計,**,206749,67662328
115,01,105,松山區,23臨時電燈,15,0,12330
115,01,105,松山區,24臨時電力,40,4262,392270
115,01,105,松山區,25臨時用電小計,**,4262,404600
115,01,105,松山區,26總計（含臨時用電）,**,206749,68066928
115,01,105,松山區,27表燈合計,**,25662,30490569
115,01,105,松山區,28綜合＆電力合計,**,181087,37576359
115,01,106,大安區,1表燈非營業用,114344,2544,45474199
115,01,106,大安區,2表燈營業用,17188,48532,27152852
115,01,106,大安區,3表燈小計,**,51076,72627051
115,01,106,大安區,4低壓綜合裝置非營業用,6,235,13418
115,01,106,大安區,5低壓綜合需量非營業用,1246,46656,6477937
115,01,106,大安區,6低壓電動車非營業用,*,50,1000
115,01,106,大安區,7低壓綜合非營業用電小計,**,46941,6492355
115,01,106,大安區,8低壓綜合裝置營業用,*,219,35983
115,01,106,大安區,9低壓綜合需量營業用,1272,52468,9032100
115,01,106,大安區,10低壓電動車營業用,8,2348,148360
115,01,106,大安區,11低壓綜合營業用電小計,**,55035,9216443
115,01,106,大安區,12低壓綜合用電小計,**,101976,15708798
115,01,106,大安區,13低壓裝置電力,101,1257,109944
115,01,106,大安區,14低壓需量電力,*,249,35679
115,01,106,大安區,15低壓電力小計,**,1506,145623
115,01,106,大安區,16高壓電力,267,190695,47588685
115,01,106,大安區,17高壓電動車,*,2370,242000
115,01,106,大安區,18特高壓電力,*,22100,7437478
115,01,106,大安區,19高＆特高壓電力小計,**,215165,55268163
115,01,106,大安區,20電力小計,**,216671,55413786
115,01,106,大安區,21綜合＆電力小計,**,318647,71122584
115,01,106,大安區,22電燈＆綜合＆電力小計,**,369723,143749635
115,01,106,大安區,23臨時電燈,29,0,23204
115,01,106,大安區,24臨時電力,68,5034,422831
115,01,106,大安區,25臨時用電小計,**,5034,446035
115,01,106,大安區,26總計（含臨時用電）,**,369723,144195670
115,01,106,大安區,27表燈合計,**,51076,72650255
115,01,106,大安區,28綜合＆電力合計,**,318647,71545415
115,01,108,萬華區,1表燈非營業用,81880,1241,20155421
115,01,108,萬華區,2表燈營業用,8584,19462,11105426
115,01,108,萬華區,3表燈小計,**,20703,31260847
115,01,108,萬華區,4低壓綜合裝置非營業用,*,0,0
115,01,108,萬華區,5低壓綜合需量非營業用,457,16650,2090522
